#{"t_start": 1777875437.321235, "env_id": "None"}
r,l,t
-194.65941,36,9.794505
-480.4381,49,9.823319
-358.2132,84,9.855836
-182.36333,30,9.894845
-335.9826,19,9.926858
-213.22966,28,9.959871
-460.56152,58,10.003892
-237.88182,52,10.033402
-397.11978,26,10.067421
-233.31602,47,10.095436
-135.83315,45,10.145961
-251.72186,29,10.173471
-259.86594,30,10.203481
-703.484,44,10.246498
-227.66084,36,10.246498
-263.0346,18,10.279006
-625.6032,65,10.314517
-304.25677,20,10.353034
-231.65215,43,10.396073
-220.75838,29,10.432589
-308.11438,33,10.432589
-302.83273,25,10.477603
-449.17413,55,10.507134
-323.7912,24,10.548668
-242.80482,37,10.59868
-136.67453,49,10.644694
-346.92374,74,10.676197
-398.42798,49,10.715237
-441.6023,41,10.750786
-460.4095,28,10.782925
-267.75473,28,10.838476
-252.76945,29,10.874985
-363.71042,84,10.903497
-157.6008,39,10.934501
-277.60635,63,10.974023
-327.70248,22,11.018164
-291.8859,31,11.050667
-268.5834,29,11.081185
-175.71536,46,11.120691
-656.2733,20,11.161749
-11445.351,929,11.19526
-289.37714,37,11.239766
-186.86417,53,11.276773
-242.01833,46,11.310282
-179.32335,26,11.342298
-484.33923,40,11.374299
-223.03659,32,11.41232
-233.97018,27,11.456846
-267.7071,15,11.490868
-164.81578,33,11.532886
-214.95459,33,11.5629
-180.833,21,11.59791
-198.68246,71,11.641672
-215.47841,66,11.674182
-250.4495,26,11.7042
-219.28882,15,11.736212
-621.4466,43,18.10713
-255.55428,48,18.134138
-353.74933,63,18.16666
-292.05862,37,18.228189
-233.15369,34,18.260703
-221.98201,34,18.301235
-179.66379,35,18.301235
-413.96405,68,18.36079
-381.38004,53,18.392301
-307.50327,30,18.422676
-176.5461,53,18.493707
-159.84888,40,18.533724
-395.58963,48,18.57125
-186.71634,45,18.601749
-303.96228,72,18.638271
-224.77666,19,18.638271
-457.20813,81,18.67379
-243.70946,44,18.769839
-277.1445,40,18.798346
-380.52576,33,18.866575
-182.53632,38,18.906602
-173.08167,78,18.942612
-446.95752,90,18.982653
-312.56653,22,19.019165
-168.03015,34,19.051186
-476.05292,107,19.084195
-235.07166,26,19.117706
-156.86832,42,19.158223
-226.88654,27,19.198235
-204.8735,46,19.237757
-286.29413,43,19.265768
-5596.4297,462,19.30678
-373.0198,26,19.349975
-372.27963,61,19.387574
-322.81274,42,19.428597
-351.96042,54,19.463613
-343.12503,34,19.495127
-211.31418,29,19.533641
-267.80246,28,19.563655
-472.28885,82,19.595619
-197.22586,17,19.642648
-197.05614,34,19.692671
-265.48438,50,19.725681
-167.36118,64,19.762218
-158.55966,44,19.806236
-186.97917,31,19.838247
-241.62282,28,19.870266
-574.78723,55,19.91329
-207.34808,17,19.944835
-261.60272,31,19.975357
-316.8276,46,20.031377
-322.2554,22,20.059406
-369.82806,39,20.109446
-2922.9688,341,20.146969
-160.14136,29,20.179967
-147.34073,31,20.209485
-388.73495,58,20.236485
-263.6709,24,20.271983
-296.3164,40,20.324498
-267.5559,37,20.354504
-179.57191,44,20.394025
-220.08458,18,20.431038
-268.15817,64,20.479555
-180.99591,40,20.515074
-195.32927,33,20.543592
-353.713,80,20.579602
-195.12254,32,20.608612
-196.53043,31,20.65963
-147.31114,32,20.695651
-208.54784,37,20.737622
-219.97151,50,20.77564
-225.85555,27,20.804657
-159.40714,37,20.851695
-291.133,32,20.894712
-227.6955,32,20.928726
-191.43819,89,20.968744
-218.57057,55,21.001755
-2709.4363,327,21.034632
-258.1557,25,21.070145
-268.74622,44,21.103156
-169.46664,29,21.130673
-201.66873,19,21.16919
-218.69716,30,21.200208
-203.04105,43,21.23372
-198.00311,50,21.274729
-211.68471,41,21.30374
-365.79065,23,21.357268
-140.21078,56,21.396282
-384.9056,65,21.444804
-392.24033,79,21.483826
-330.43182,35,21.514344
-342.34436,70,21.548858
-296.16733,19,21.583367
-526.4668,126,21.637391
-252.14348,35,21.669913
-281.07135,32,21.701446
-312.96112,77,21.738961
-199.61876,51,21.767479
-192.64241,48,21.803034
-211.47534,18,21.847057
-237.21057,32,21.847057
-220.25734,42,21.886573
-217.38016,49,21.931594
-300.14465,32,21.968107
-217.63437,37,22.000129
-164.47502,35,22.033139
-349.07315,73,22.080256
-189.7169,29,22.116765
-281.58658,24,22.116765
-358.90393,76,22.15428
-279.7907,45,22.15428
-236.81178,21,22.194292
-374.74896,23,22.233312
-489.7012,30,22.269821
-246.19148,30,22.302833
-268.16162,24,22.343348
-134.42093,36,22.343348
-278.87088,43,22.399901
-179.7661,32,22.434916
-205.76413,40,22.462425
-224.83206,39,22.498948
-241.87155,24,22.535961
-435.29907,121,22.576485
-355.31625,28,22.613011
-203.27644,35,22.641024
-281.68192,22,22.672537
-208.31567,46,22.707071
-622.57874,92,22.738087
-233.00836,25,22.772106
-223.41638,29,22.821647
-302.62546,22,22.851155
-196.8318,42,22.88716
-237.01115,48,22.921677
-201.49503,22,22.959868
-192.29384,21,22.993882
-6937.1147,753,23.0309
-137.29344,56,23.067917
-523.63293,73,23.112439
-236.45952,52,23.112439
-288.3424,24,23.146956
-290.20416,26,23.18748
-347.41403,59,23.236506
-220.56253,38,23.270516
-470.31293,73,23.296026
-489.98886,61,23.330035
-170.3358,50,23.376054
-435.26892,67,23.409084
-172.95978,38,23.451799
-291.1841,37,23.451799
-607.3017,51,23.489315
-170.07083,33,23.535831
-206.72318,23,23.56584
-550.327,102,23.602852
