Time,Roll,Pitch,Yaw,ErrR,ErrP,ErrY,TrqX,TrqY,TrqZ,VelX,VelY,VelZ
0.004,0.785,0.615,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.008,0.785,0.615,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.013,0.785,0.615,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.017,0.785,0.615,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000
0.021,0.785,0.615,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,-0.000
0.025,0.785,0.615,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,-0.000
0.029,0.785,0.616,0.000,-0.001,-0.003,-0.001,0.000,0.000,0.000,0.004,-0.010,0.006
0.033,0.785,0.616,0.000,-0.002,-0.005,-0.001,0.000,0.000,0.000,12.438,26.514,7.186
0.037,0.785,0.616,0.000,-0.002,-0.006,-0.001,0.000,0.000,0.000,19.153,49.351,11.069
0.042,0.785,0.616,0.000,-0.001,-0.007,-0.001,-0.000,0.000,-0.000,22.206,70.453,12.847
0.046,0.785,0.616,0.000,-0.000,-0.008,-0.000,-0.000,0.000,-0.000,20.793,88.905,12.051
0.050,0.785,0.616,-0.000,0.001,-0.008,0.001,-0.000,0.000,-0.000,14.103,103.855,8.205
0.054,0.785,0.616,-0.000,0.003,-0.007,0.002,-0.000,0.000,-0.000,1.296,114.528,0.817
0.058,0.785,0.616,-0.000,0.005,-0.006,0.003,-0.000,0.000,-0.000,-18.534,120.235,-10.634
0.062,0.785,0.616,-0.000,0.008,-0.005,0.005,-0.001,-0.000,-0.000,-46.294,120.354,-26.678
0.067,0.785,0.616,-0.000,0.012,-0.003,0.007,-0.001,-0.000,-0.000,-82.712,114.317,-47.795
0.071,0.785,0.616,-0.000,0.015,-0.001,0.009,-0.001,-0.000,-0.000,-128.314,101.572,-74.403
0.075,0.785,0.615,-0.000,0.018,-0.000,0.011,-0.001,-0.000,-0.001,-176.696,90.947,-102.999
0.079,0.785,0.615,-0.000,0.022,-0.000,0.012,-0.001,-0.000,-0.001,-226.956,83.034,-133.254
0.083,0.785,0.615,-0.000,0.025,-0.000,0.014,-0.001,0.000,-0.001,-278.164,78.405,-164.816
0.087,0.785,0.615,-0.000,0.028,-0.001,0.016,-0.001,0.000,-0.001,-329.426,77.612,-197.329
0.092,0.785,0.616,-0.000,0.031,-0.001,0.018,-0.001,0.000,-0.001,-379.939,81.176,-230.445
0.096,0.785,0.616,-0.000,0.033,-0.003,0.019,-0.001,0.000,-0.001,-429.048,89.576,-263.836
0.100,0.785,0.616,-0.000,0.036,-0.005,0.021,-0.001,0.000,-0.001,-476.277,103.230,-297.213
0.104,0.785,0.616,-0.000,0.039,-0.007,0.023,-0.001,0.000,-0.001,-499.995,122.464,-330.337
0.108,0.785,0.616,-0.000,0.043,-0.009,0.025,-0.002,0.001,-0.001,-499.995,147.487,-363.028
0.113,0.785,0.616,-0.000,0.046,-0.012,0.026,-0.002,0.001,-0.001,-499.994,178.350,-395.169
0.117,0.785,0.616,-0.000,0.049,-0.015,0.028,-0.002,0.001,-0.001,-499.994,214.920,-426.711
0.121,0.784,0.616,-0.001,0.053,-0.019,0.030,-0.002,0.001,-0.001,-499.994,256.850,-457.667
0.125,0.784,0.616,-0.001,0.056,-0.022,0.032,-0.002,0.001,-0.001,-499.993,303.575,-488.107
0.129,0.784,0.616,-0.001,0.060,-0.026,0.035,-0.002,0.001,-0.001,-499.993,354.315,-499.995
0.133,0.784,0.616,-0.001,0.064,-0.031,0.037,-0.002,0.001,-0.001,-499.993,408.116,-499.994
0.138,0.784,0.616,-0.001,0.070,-0.034,0.040,-0.002,0.001,-0.001,-499.994,463.902,-499.996
0.142,0.784,0.616,-0.001,0.076,-0.037,0.044,-0.003,0.001,-0.002,-499.993,499.998,-499.995
0.146,0.784,0.616,-0.001,0.083,-0.039,0.048,-0.003,0.001,-0.002,-499.992,499.998,-499.995
0.150,0.784,0.616,-0.001,0.091,-0.041,0.053,-0.003,0.001,-0.002,-499.989,499.995,-499.992
0.154,0.784,0.616,-0.001,0.100,-0.043,0.058,-0.004,0.001,-0.002,-499.988,499.995,-499.991
0.158,0.783,0.616,-0.001,0.109,-0.045,0.063,-0.004,0.001,-0.002,-499.987,499.995,-499.991
0.163,0.783,0.616,-0.001,0.119,-0.048,0.069,-0.004,0.002,-0.003,-499.986,499.994,-499.990
0.167,0.783,0.616,-0.001,0.129,-0.050,0.075,-0.005,0.002,-0.003,-499.985,499.994,-499.989
0.171,0.783,0.616,-0.001,0.140,-0.052,0.081,-0.005,0.002,-0.003,-499.984,499.994,-499.988
0.175,0.783,0.616,-0.002,0.153,-0.055,0.088,-0.006,0.002,-0.003,-499.983,499.994,-499.988
0.179,0.783,0.616,-0.002,0.166,-0.057,0.096,-0.006,0.002,-0.003,-499.981,499.994,-499.987
0.183,0.782,0.617,-0.002,0.180,-0.059,0.104,-0.007,0.002,-0.004,-499.980,499.994,-499.986
0.188,0.782,0.617,-0.002,0.196,-0.061,0.113,-0.007,0.002,-0.004,-499.978,499.994,-499.984
0.192,0.782,0.617,-0.002,0.213,-0.063,0.123,-0.008,0.002,-0.004,-499.976,499.994,-499.983
0.196,0.781,0.617,-0.002,0.231,-0.064,0.134,-0.008,0.002,-0.005,-499.974,499.994,-499.982
0.200,0.781,0.617,-0.003,0.251,-0.065,0.145,-0.009,0.002,-0.005,-499.972,499.995,-499.980
0.204,0.781,0.617,-0.003,0.273,-0.066,0.158,-0.010,0.002,-0.006,-499.970,499.995,-499.979
0.208,0.780,0.617,-0.003,0.297,-0.066,0.171,-0.011,0.002,-0.006,-499.967,499.995,-499.977
0.212,0.780,0.617,-0.003,0.322,-0.066,0.186,-0.012,0.002,-0.007,-499.964,499.996,-499.975
0.217,0.779,0.617,-0.004,0.350,-0.065,0.202,-0.013,0.002,-0.007,-499.961,499.996,-499.973
0.221,0.779,0.617,-0.004,0.380,-0.064,0.220,-0.014,0.001,-0.008,-499.958,499.997,-499.971
0.225,0.778,0.617,-0.004,0.413,-0.062,0.239,-0.015,0.001,-0.009,-499.954,499.998,-499.968
0.229,0.778,0.617,-0.005,0.449,-0.059,0.259,-0.016,0.001,-0.009,-499.950,499.999,-499.966
0.233,0.777,0.616,-0.005,0.488,-0.055,0.282,-0.018,0.001,-0.010,-499.946,500.000,-499.963
0.237,0.776,0.616,-0.005,0.530,-0.050,0.306,-0.019,0.001,-0.011,-499.941,500.000,-499.960
0.242,0.775,0.616,-0.006,0.575,-0.044,0.332,-0.021,0.000,-0.012,-499.936,500.000,-499.957
0.246,0.774,0.616,-0.006,0.625,-0.037,0.361,-0.023,0.000,-0.013,-499.931,482.783,-499.953
0.250,0.774,0.616,-0.007,0.678,-0.028,0.392,-0.024,-0.000,-0.014,-499.925,447.196,-499.949
0.254,0.773,0.616,-0.007,0.736,-0.018,0.426,-0.027,-0.001,-0.015,-499.918,392.896,-499.945
0.258,0.771,0.616,-0.008,0.799,-0.007,0.462,-0.029,-0.001,-0.017,-499.911,318.672,-499.940
0.263,0.770,0.615,-0.009,0.867,0.007,0.501,-0.031,-0.002,-0.018,-499.904,222.154,-499.935
0.267,0.769,0.615,-0.009,0.941,0.022,0.544,-0.034,-0.002,-0.020,-499.895,99.370,-499.930
0.271,0.768,0.615,-0.010,1.021,0.039,0.590,-0.037,-0.003,-0.021,-499.887,-55.979,-499.924
0.275,0.766,0.614,-0.011,1.108,0.058,0.640,-0.040,-0.004,-0.023,-499.877,-252.814,-499.917
0.279,0.764,0.614,-0.012,1.202,0.080,0.694,-0.043,-0.005,-0.025,-499.867,-488.032,-499.911
0.283,0.763,0.614,-0.013,1.303,0.104,0.752,-0.047,-0.006,-0.027,-499.855,-499.970,-499.903
0.287,0.761,0.613,-0.014,1.413,0.131,0.816,-0.051,-0.007,-0.029,-499.843,-499.965,-499.895
0.292,0.759,0.613,-0.015,1.531,0.160,0.884,-0.055,-0.008,-0.032,-499.830,-499.960,-499.886
0.296,0.756,0.612,-0.017,1.660,0.194,0.958,-0.060,-0.009,-0.034,-499.816,-499.954,-499.877
0.300,0.754,0.611,-0.018,1.798,0.230,1.037,-0.065,-0.011,-0.037,-499.801,-499.948,-499.867
0.304,0.751,0.611,-0.020,1.948,0.270,1.123,-0.070,-0.012,-0.040,-499.784,-499.942,-499.856
0.308,0.749,0.610,-0.021,2.110,0.315,1.216,-0.076,-0.014,-0.043,-499.766,-499.935,-499.844
0.312,0.746,0.609,-0.023,2.285,0.363,1.316,-0.082,-0.016,-0.047,-499.747,-499.927,-499.831
0.317,0.742,0.608,-0.025,2.474,0.416,1.424,-0.089,-0.018,-0.051,-499.726,-499.918,-499.817
0.321,0.739,0.607,-0.027,2.678,0.475,1.541,-0.096,-0.020,-0.055,-499.704,-499.909,-499.802
0.325,0.735,0.606,-0.029,2.898,0.538,1.666,-0.104,-0.022,-0.059,-499.679,-499.899,-499.786
0.329,0.731,0.605,-0.031,3.136,0.607,1.802,-0.112,-0.025,-0.064,-499.653,-499.889,-499.768
0.333,0.726,0.604,-0.034,3.393,0.683,1.947,-0.121,-0.027,-0.069,-499.625,-499.877,-499.750
0.338,0.721,0.602,-0.037,3.670,0.765,2.105,-0.131,-0.030,-0.075,-499.595,-499.865,-499.729
0.342,0.716,0.601,-0.040,3.969,0.854,2.274,-0.141,-0.034,-0.081,-499.562,-499.851,-499.707
0.346,0.710,0.599,-0.043,4.291,0.951,2.456,-0.153,-0.037,-0.087,-499.527,-499.837,-499.684
0.350,0.704,0.597,-0.046,4.639,1.056,2.652,-0.165,-0.041,-0.094,-499.489,-499.821,-499.658
0.354,0.698,0.595,-0.050,5.015,1.170,2.862,-0.178,-0.045,-0.101,-499.448,-499.804,-499.630
0.358,0.691,0.593,-0.054,5.420,1.293,3.089,-0.193,-0.049,-0.109,-499.404,-499.786,-499.601
0.362,0.683,0.591,-0.058,5.856,1.426,3.333,-0.208,-0.054,-0.118,-499.356,-499.767,-499.569
0.367,0.675,0.588,-0.063,6.327,1.569,3.594,-0.225,-0.059,-0.127,-499.305,-499.746,-499.534
0.371,0.666,0.585,-0.068,6.834,1.725,3.875,-0.243,-0.065,-0.137,-499.248,-499.723,-499.499
0.375,0.657,0.582,-0.073,7.380,1.893,4.176,-0.262,-0.071,-0.147,-499.188,-499.700,-499.459
0.379,0.646,0.579,-0.079,7.967,2.074,4.498,-0.282,-0.077,-0.158,-499.125,-499.675,-499.416
0.383,0.635,0.576,-0.085,8.599,2.269,4.843,-0.300,-0.084,-0.170,-499.058,-499.648,-499.370
0.388,0.623,0.572,-0.091,9.278,2.479,5.212,-0.300,-0.091,-0.183,-499.000,-499.620,-499.321
0.392,0.611,0.568,-0.098,10.004,2.704,5.604,-0.300,-0.099,-0.196,-499.001,-499.593,-499.273
0.396,0.597,0.564,-0.105,10.775,2.946,6.018,-0.300,-0.107,-0.210,-499.001,-499.564,-499.223
0.400,0.583,0.560,-0.113,11.591,3.204,6.452,-0.300,-0.116,-0.223,-499.003,-499.534,-499.171
0.404,0.568,0.555,-0.121,12.449,3.480,6.906,-0.300,-0.126,-0.238,-499.004,-499.502,-499.117
0.408,0.552,0.550,-0.129,13.350,3.773,7.378,-0.300,-0.136,-0.253,-499.006,-499.469,-499.061
0.412,0.536,0.544,-0.137,14.291,4.083,7.868,-0.300,-0.146,-0.268,-499.008,-499.435,-499.003
0.417,0.519,0.538,-0.146,15.274,4.411,8.374,-0.300,-0.157,-0.283,-499.013,-499.400,-498.941
0.421,0.501,0.532,-0.155,16.295,4.755,8.895,-0.300,-0.168,-0.298,-499.011,-499.367,-498.881
0.425,0.483,0.526,-0.165,17.355,5.115,9.430,-0.300,-0.179,-0.300,-499.014,-499.330,-498.819
0.429,0.463,0.520,-0.174,18.453,5.489,9.979,-0.300,-0.191,-0.300,-499.022,-499.295,-498.805
0.433,0.443,0.513,-0.184,19.593,5.874,10.542,-0.300,-0.202,-0.300,-499.030,-499.261,-498.797
0.438,0.423,0.506,-0.194,20.774,6.269,11.118,-0.300,-0.214,-0.300,-499.039,-499.228,-498.789
0.442,0.401,0.499,-0.204,22.002,6.671,11.709,-0.300,-0.225,-0.300,-499.054,-499.189,-498.781
0.446,0.379,0.492,-0.215,23.274,7.078,12.314,-0.300,-0.236,-0.300,-499.055,-499.164,-498.775
0.450,0.356,0.485,-0.226,24.595,7.485,12.930,-0.300,-0.247,-0.300,-499.077,-499.144,-498.779
0.454,0.332,0.478,-0.236,25.968,7.885,13.540,-0.300,-0.257,-0.300,-499.131,-499.155,-498.820
0.458,0.307,0.471,-0.247,27.402,8.269,14.131,-0.300,-0.265,-0.300,-499.185,-499.172,-498.861
0.462,0.281,0.465,-0.256,28.903,8.627,14.689,-0.300,-0.271,-0.300,-499.241,-499.195,-498.903
0.467,0.253,0.459,-0.265,30.478,8.950,15.201,-0.300,-0.275,-0.300,-499.297,-499.227,-498.945
0.471,0.225,0.454,-0.274,32.132,9.236,15.684,-0.300,-0.278,-0.300,-499.280,-499.197,-498.893
0.475,0.194,0.450,-0.281,33.878,9.460,16.093,-0.300,-0.276,-0.300,-499.414,-499.325,-499.043
0.479,0.162,0.447,-0.288,35.720,9.652,16.516,-0.300,-0.277,-0.300,-499.267,-499.143,-498.763
0.483,0.128,0.446,-0.293,37.675,9.739,16.805,-0.300,-0.266,-0.300,-499.612,-499.532,-499.275
0.487,0.092,0.446,-0.297,39.754,9.723,17.003,-0.300,-0.253,-0.300,-499.570,-499.522,-499.154
0.492,0.053,0.448,-0.299,41.967,9.588,17.105,-0.300,-0.234,-0.300,-499.626,-499.629,-499.196
0.496,0.012,0.452,-0.300,44.328,9.354,17.172,-0.300,-0.216,-0.300,-499.563,-499.581,-499.007
0.500,-0.032,0.459,-0.299,46.848,8.956,17.119,-0.300,-0.184,-0.300,-499.780,-499.923,-499.369
0.504,-0.044,0.451,-0.304,47.540,9.447,17.423,-0.300,-0.300,-0.300,-490.569,-495.668,-497.422
0.508,-0.056,0.443,-0.309,48.183,9.876,17.701,-0.300,-0.300,-0.300,-498.738,-499.153,-498.966
0.512,-0.066,0.437,-0.313,48.780,10.243,17.955,-0.300,-0.300,-0.300,-498.739,-499.147,-498.967
0.517,-0.076,0.431,-0.317,49.332,10.549,18.187,-0.300,-0.300,-0.300,-498.740,-499.142,-498.968
0.521,-0.084,0.427,-0.321,49.840,10.794,18.398,-0.300,-0.300,-0.300,-498.741,-499.138,-498.969
0.525,-0.093,0.424,-0.324,50.305,10.979,18.590,-0.300,-0.300,-0.300,-498.741,-499.134,-498.969
0.529,-0.100,0.422,-0.327,50.729,11.105,18.764,-0.300,-0.300,-0.300,-498.742,-499.131,-498.970
0.533,-0.107,0.421,-0.330,51.112,11.171,18.921,-0.300,-0.300,-0.300,-498.743,-499.128,-498.971
0.537,-0.113,0.420,-0.333,51.455,11.178,19.061,-0.300,-0.293,-0.300,-498.744,-499.126,-498.971
0.542,-0.118,0.421,-0.335,51.758,11.127,19.185,-0.300,-0.285,-0.300,-498.745,-499.143,-498.971
0.546,-0.123,0.423,-0.337,52.023,11.021,19.293,-0.300,-0.275,-0.300,-498.746,-499.167,-498.969
0.550,-0.127,0.426,-0.338,52.250,10.862,19.387,-0.300,-0.264,-0.300,-498.746,-499.195,-498.968
0.554,-0.130,0.430,-0.340,52.439,10.653,19.465,-0.300,-0.253,-0.300,-498.747,-499.226,-498.966
0.558,-0.132,0.434,-0.341,52.590,10.395,19.528,-0.300,-0.240,-0.300,-498.747,-499.262,-498.964
0.562,-0.134,0.439,-0.342,52.704,10.092,19.577,-0.300,-0.226,-0.300,-498.747,-499.300,-498.962
0.567,-0.136,0.445,-0.342,52.781,9.746,19.610,-0.300,-0.212,-0.300,-498.746,-499.342,-498.960
0.571,-0.137,0.452,-0.343,52.821,9.360,19.627,-0.300,-0.197,-0.300,-498.746,-499.386,-498.958
0.575,-0.137,0.459,-0.343,52.823,8.938,19.628,-0.300,-0.181,-0.300,-498.745,-499.433,-498.956
0.579,-0.136,0.467,-0.342,52.786,8.481,19.611,-0.300,-0.165,-0.300,-498.743,-499.481,-498.954
0.583,-0.135,0.476,-0.342,52.711,7.994,19.577,-0.300,-0.148,-0.300,-498.741,-499.532,-498.952
0.588,-0.133,0.485,-0.341,52.596,7.480,19.524,-0.300,-0.131,-0.300,-498.739,-499.583,-498.950
0.592,-0.130,0.494,-0.339,52.439,6.941,19.450,-0.300,-0.114,-0.300,-498.737,-499.636,-498.949
0.596,-0.126,0.504,-0.338,52.241,6.381,19.355,-0.300,-0.097,-0.300,-498.734,-499.690,-498.947
0.600,-0.122,0.514,-0.336,51.999,5.805,19.237,-0.300,-0.079,-0.300,-498.731,-499.743,-498.946
0.604,-0.117,0.524,-0.333,51.711,5.214,19.095,-0.300,-0.062,-0.300,-498.727,-499.797,-498.945
0.608,-0.111,0.535,-0.330,51.377,4.613,18.925,-0.300,-0.045,-0.300,-498.723,-499.850,-498.945
0.613,-0.105,0.546,-0.327,50.993,4.006,18.728,-0.300,-0.029,-0.300,-498.719,-499.903,-498.945
0.617,-0.097,0.556,-0.323,50.557,3.396,18.500,-0.300,-0.012,-0.300,-498.715,-499.954,-498.945
0.621,-0.088,0.567,-0.318,50.065,2.789,18.238,-0.300,0.003,-0.300,-498.700,-499.996,-498.952
0.625,-0.079,0.577,-0.313,49.515,2.188,17.940,-0.300,0.018,-0.300,-498.706,-253.429,-498.947
0.629,-0.068,0.588,-0.307,48.907,1.597,17.605,-0.300,0.032,-0.300,-498.701,499.911,-498.949
0.633,-0.056,0.598,-0.301,48.237,1.021,17.231,-0.300,0.046,-0.300,-498.696,499.869,-498.952
0.637,-0.044,0.607,-0.293,47.502,0.464,16.815,-0.300,0.058,-0.300,-498.691,499.832,-498.956
0.642,-0.030,0.617,-0.285,46.701,-0.062,16.343,-0.300,0.068,-0.300,-498.718,499.831,-498.995
0.646,-0.015,0.625,-0.276,45.833,-0.544,15.802,-0.300,0.075,-0.300,-498.749,499.842,-499.040
0.650,0.002,0.632,-0.265,44.897,-0.970,15.180,-0.300,0.079,-0.300,-498.777,499.858,-499.081
0.654,0.008,0.638,-0.261,44.547,-1.318,14.972,-0.300,0.078,-0.300,-500.000,499.943,-497.424
0.658,0.013,0.644,-0.259,44.278,-1.632,14.811,-0.300,0.082,-0.300,-499.074,499.777,-498.680
0.662,0.016,0.649,-0.257,44.091,-1.912,14.698,-0.300,0.085,-0.300,-499.071,499.765,-498.681
0.667,0.018,0.653,-0.255,43.986,-2.157,14.635,-0.300,0.087,-0.300,-499.068,499.755,-498.681
0.671,0.018,0.657,-0.255,43.964,-2.368,14.621,-0.300,0.089,-0.300,-499.066,499.748,-498.681
0.675,0.017,0.660,-0.256,44.025,-2.545,14.659,-0.300,0.089,-0.300,-499.064,499.743,-498.681
0.679,0.014,0.662,-0.257,44.170,-2.688,14.747,-0.300,0.088,-0.300,-499.063,499.740,-498.680
0.683,0.011,0.664,-0.260,44.398,-2.797,14.888,-0.300,0.087,-0.300,-499.063,499.740,-498.679
0.688,0.005,0.666,-0.263,44.711,-2.873,15.081,-0.300,0.085,-0.300,-499.063,499.742,-498.678
0.692,0.001,0.666,-0.266,44.932,-2.910,15.218,-0.300,0.081,-0.300,-498.610,499.772,-499.033
0.696,0.001,0.666,-0.266,44.945,-2.904,15.226,-0.300,0.075,-0.300,-498.307,499.803,-499.272
0.700,0.001,0.666,-0.266,44.950,-2.867,15.229,-0.300,0.070,-0.300,-498.825,499.782,-498.865
0.704,0.001,0.664,-0.266,44.954,-2.798,15.232,-0.300,0.065,-0.300,-498.847,499.798,-498.849
0.708,0.001,0.663,-0.266,44.958,-2.700,15.234,-0.300,0.058,-0.300,-498.847,499.814,-498.849
0.713,0.001,0.660,-0.266,44.962,-2.574,15.236,-0.300,0.052,-0.300,-498.848,499.833,-498.850
0.717,0.001,0.658,-0.266,44.965,-2.421,15.238,-0.300,0.044,-0.300,-498.849,499.853,-498.850
0.721,0.001,0.655,-0.266,44.968,-2.244,15.240,-0.300,0.036,-0.300,-498.850,499.874,-498.851
0.725,0.001,0.651,-0.266,44.971,-2.043,15.242,-0.300,0.028,-0.300,-498.851,499.897,-498.851
0.729,0.000,0.647,-0.266,44.973,-1.822,15.244,-0.300,0.020,-0.300,-498.851,499.921,-498.852
0.733,0.000,0.643,-0.266,44.976,-1.581,15.245,-0.300,0.011,-0.300,-498.852,499.947,-498.853
0.738,0.000,0.639,-0.266,44.978,-1.323,15.247,-0.300,0.002,-0.300,-498.853,499.973,-498.854
0.742,0.000,0.634,-0.266,44.980,-1.049,15.248,-0.300,-0.007,-0.300,-498.854,500.000,-498.855
0.746,0.000,0.629,-0.266,44.983,-0.762,15.249,-0.300,-0.016,-0.300,-498.855,25.116,-498.856
0.750,0.000,0.624,-0.266,44.985,-0.463,15.251,-0.300,-0.025,-0.300,-498.856,-499.945,-498.857
0.754,0.000,0.618,-0.266,44.987,-0.155,15.252,-0.300,-0.035,-0.300,-498.856,-499.917,-498.857
0.758,0.000,0.613,-0.266,44.989,0.161,15.253,-0.300,-0.044,-0.300,-498.857,-499.888,-498.858
0.762,0.000,0.607,-0.266,44.990,0.483,15.254,-0.300,-0.053,-0.300,-498.858,-499.860,-498.859
0.767,0.000,0.601,-0.266,44.992,0.809,15.255,-0.300,-0.062,-0.300,-498.859,-499.832,-498.860
0.771,0.000,0.596,-0.266,44.994,1.137,15.256,-0.300,-0.071,-0.300,-498.860,-499.805,-498.861
0.775,0.000,0.590,-0.266,44.995,1.465,15.257,-0.300,-0.080,-0.300,-498.861,-499.777,-498.862
0.779,0.000,0.584,-0.266,44.997,1.792,15.258,-0.300,-0.088,-0.300,-498.861,-499.751,-498.863
0.783,0.000,0.579,-0.266,44.998,2.115,15.259,-0.300,-0.096,-0.300,-498.862,-499.725,-498.863
0.787,0.000,0.573,-0.266,44.999,2.434,15.259,-0.300,-0.104,-0.300,-498.863,-499.700,-498.864
0.792,-0.000,0.568,-0.266,45.001,2.747,15.260,-0.300,-0.111,-0.300,-498.864,-499.676,-498.865
0.796,-0.000,0.562,-0.266,45.001,3.053,15.260,-0.300,-0.118,-0.300,-498.862,-499.652,-498.867
0.800,-0.000,0.557,-0.266,45.000,3.349,15.260,-0.300,-0.125,-0.300,-498.863,-499.631,-498.867
0.804,-0.000,0.552,-0.266,45.000,3.636,15.260,-0.300,-0.131,-0.300,-498.867,-499.610,-498.866
0.808,0.000,0.547,-0.266,44.997,3.910,15.259,-0.300,-0.137,-0.300,-498.858,-499.593,-498.873
0.812,0.000,0.543,-0.266,44.998,4.171,15.259,-0.300,-0.142,-0.300,-498.879,-499.577,-498.861
0.817,0.000,0.538,-0.266,44.998,4.417,15.259,-0.300,-0.147,-0.300,-498.868,-499.563,-498.868
0.821,0.000,0.534,-0.266,44.999,4.648,15.260,-0.300,-0.151,-0.300,-498.868,-499.548,-498.869
0.825,0.000,0.531,-0.266,45.000,4.863,15.260,-0.300,-0.154,-0.300,-498.868,-499.535,-498.869
0.829,-0.000,0.527,-0.266,45.000,5.061,15.260,-0.300,-0.157,-0.300,-498.869,-499.523,-498.870
0.833,-0.000,0.524,-0.266,45.000,5.242,15.260,-0.300,-0.160,-0.300,-498.868,-499.513,-498.870
0.838,-0.000,0.521,-0.266,45.000,5.405,15.260,-0.300,-0.162,-0.300,-498.869,-499.504,-498.870
0.842,-0.000,0.519,-0.266,45.000,5.550,15.261,-0.300,-0.164,-0.300,-498.870,-499.497,-498.870
0.846,-0.000,0.516,-0.266,45.000,5.677,15.261,-0.300,-0.165,-0.300,-498.869,-499.492,-498.870
0.850,-0.000,0.514,-0.266,45.000,5.787,15.261,-0.300,-0.165,-0.300,-498.870,-499.488,-498.870
0.854,-0.000,0.513,-0.266,45.000,5.878,15.261,-0.300,-0.165,-0.300,-498.870,-499.485,-498.871
0.858,-0.000,0.512,-0.266,45.000,5.952,15.261,-0.300,-0.165,-0.300,-498.870,-499.484,-498.870
0.862,-0.000,0.511,-0.266,45.000,6.008,15.261,-0.300,-0.164,-0.300,-498.870,-499.484,-498.870
0.867,-0.000,0.510,-0.266,45.000,6.047,15.261,-0.300,-0.163,-0.300,-498.870,-499.486,-498.870
0.871,-0.000,0.510,-0.266,45.000,6.069,15.261,-0.300,-0.162,-0.300,-498.870,-499.489,-498.870
0.875,-0.000,0.509,-0.266,45.001,6.074,15.261,-0.300,-0.160,-0.300,-498.870,-499.493,-498.870
0.879,-0.000,0.510,-0.266,45.001,6.064,15.261,-0.300,-0.157,-0.300,-498.869,-499.498,-498.870
0.883,-0.000,0.510,-0.266,45.001,6.039,15.261,-0.300,-0.155,-0.300,-498.870,-499.505,-498.869
0.887,-0.000,0.511,-0.266,45.001,5.998,15.261,-0.300,-0.152,-0.300,-498.869,-499.512,-498.869
0.892,-0.000,0.512,-0.266,45.001,5.944,15.261,-0.300,-0.149,-0.300,-498.869,-499.520,-498.869
0.896,-0.000,0.513,-0.266,45.001,5.877,15.262,-0.300,-0.145,-0.300,-498.869,-499.530,-498.869
0.900,-0.000,0.514,-0.266,45.001,5.797,15.262,-0.300,-0.142,-0.300,-498.868,-499.540,-498.868
0.904,-0.000,0.516,-0.266,45.001,5.706,15.262,-0.300,-0.138,-0.300,-498.868,-499.550,-498.868
0.908,-0.000,0.518,-0.266,45.001,5.605,15.262,-0.300,-0.134,-0.300,-498.868,-499.562,-498.868
0.912,-0.000,0.520,-0.266,45.001,5.493,15.262,-0.300,-0.130,-0.300,-498.867,-499.573,-498.867
0.917,-0.000,0.522,-0.266,45.001,5.373,15.262,-0.300,-0.126,-0.300,-498.867,-499.586,-498.867
0.921,-0.000,0.524,-0.266,45.001,5.245,15.262,-0.300,-0.121,-0.300,-498.866,-499.599,-498.866
0.925,-0.000,0.526,-0.266,45.001,5.110,15.262,-0.300,-0.117,-0.300,-498.866,-499.612,-498.866
0.929,-0.000,0.529,-0.266,45.001,4.969,15.262,-0.300,-0.112,-0.300,-498.866,-499.625,-498.866
0.933,-0.000,0.531,-0.266,45.001,4.823,15.262,-0.300,-0.108,-0.300,-498.865,-499.638,-498.865
0.938,-0.000,0.534,-0.266,45.001,4.673,15.262,-0.300,-0.103,-0.300,-498.865,-499.652,-498.865
0.942,-0.000,0.537,-0.266,45.001,4.520,15.262,-0.300,-0.099,-0.300,-498.864,-499.665,-498.864
0.946,-0.000,0.539,-0.266,45.001,4.364,15.262,-0.300,-0.095,-0.300,-498.864,-499.679,-498.864
0.950,-0.000,0.542,-0.266,45.001,4.207,15.262,-0.300,-0.090,-0.300,-498.864,-499.692,-498.863
0.954,-0.000,0.545,-0.266,45.001,4.050,15.262,-0.300,-0.086,-0.300,-498.863,-499.705,-498.863
0.958,-0.000,0.548,-0.266,45.001,3.893,15.262,-0.300,-0.082,-0.300,-498.863,-499.718,-498.863
0.963,-0.000,0.550,-0.266,45.000,3.737,15.262,-0.300,-0.078,-0.300,-498.862,-499.731,-498.862
0.967,-0.000,0.553,-0.266,45.000,3.583,15.262,-0.300,-0.074,-0.300,-498.862,-499.743,-498.862
0.971,-0.000,0.556,-0.266,45.000,3.431,15.262,-0.300,-0.071,-0.300,-498.862,-499.755,-498.862
0.975,0.000,0.558,-0.266,44.999,3.284,15.261,-0.300,-0.068,-0.300,-498.857,-499.762,-498.864
0.979,0.000,0.561,-0.266,44.999,3.143,15.262,-0.300,-0.065,-0.300,-498.867,-499.769,-498.857
0.983,0.000,0.563,-0.266,45.000,3.007,15.262,-0.300,-0.062,-0.300,-498.860,-499.779,-498.861
