#{"t_start": 1778794156.4562166, "env_id": "None"}
r,l,t
-275.0208,18,11.589305
-392.13254,44,11.637379
-230.29749,26,11.678775
-569.0715,49,11.715121
-260.7805,70,11.750847
-187.15097,36,11.78753
-351.74756,22,11.826432
-210.88058,27,11.868513
-287.24005,29,11.915434
-204.56046,55,11.950114
-751.19183,49,11.994689
-180.84428,36,12.025249
-311.12067,37,12.069167
-232.93134,22,12.115205
-190.28992,35,12.151007
-453.41922,51,12.19613
-185.25354,26,12.240139
-682.811,158,12.289307
-216.996,74,12.335299
-264.97244,64,12.381273
-911.74945,83,12.418127
-321.63123,22,12.451998
-234.60597,35,12.486722
-457.2954,53,12.522439
-235.08023,28,12.58467
-255.12845,42,12.626566
-175.51291,37,12.626566
-155.32698,37,12.667612
-213.63162,18,12.707467
-432.9914,48,12.750465
-393.39078,20,12.788808
-165.97258,34,12.834257
-178.65192,20,12.872282
-227.57452,15,12.904065
-152.15721,23,12.954176
-441.1578,46,12.982804
-205.11884,25,13.018925
-277.3462,42,13.073096
-193.67784,29,13.108919
-369.68332,43,13.15864
-208.21472,35,13.210864
-157.47372,32,13.24773
-315.29727,21,13.301881
-537.65607,81,13.345854
-175.99487,36,13.386681
-339.865,60,13.434097
-262.1201,20,13.468891
-232.8638,33,13.508727
-217.59906,47,13.573159
-625.71454,43,13.615104
-301.69843,61,13.664192
-491.91504,60,13.708912
-156.05855,48,13.765174
-231.42929,19,13.803014
-461.02402,56,13.850024
-404.48862,60,13.904274
-453.62527,54,13.965431
-265.61465,30,14.001944
-570.56586,52,14.03777
-163.17288,28,14.098382
-338.02048,31,14.138453
-409.03204,56,20.324346
-252.82828,42,20.387108
-385.36127,143,20.422969
-215.15,31,20.456783
-466.98438,57,20.496621
-166.44684,28,20.557556
-192.71156,36,20.593982
-382.9923,35,20.629862
-277.15588,37,20.698406
-623.0308,72,20.743197
-357.52103,47,20.782037
-190.03174,30,20.838214
-317.4582,19,20.876714
-400.9519,78,20.912558
-419.92343,23,20.965026
-269.91293,35,21.018362
-499.6918,70,21.06655
-206.92558,33,21.131016
-182.39557,37,21.17391
-264.7683,65,21.210613
-328.24518,91,21.24354
-192.0671,26,21.295384
-181.25829,29,21.333152
-189.8783,37,21.376258
-561.7947,72,21.428504
-151.03305,38,21.464281
-365.9015,46,21.516456
-205.3071,50,21.588078
-861.51874,76,21.62392
-332.79642,74,21.67217
-355.11334,22,21.709076
-281.05457,59,21.74392
-239.68,29,21.809335
-526.32153,46,21.809335
-203.83319,58,21.874937
-212.04042,29,21.908969
-324.82175,34,21.980832
-288.85712,50,22.034897
-321.2082,108,22.100238
-208.39824,46,22.15028
-199.28838,71,22.192321
-298.09967,15,22.235461
-320.30283,36,22.272872
-180.10315,30,22.341374
-489.81754,44,22.380567
-340.6335,62,22.443131
-1032.4875,230,22.476899
-166.48564,35,22.51892
-193.13806,39,22.55473
-278.15994,28,22.619103
-346.05984,44,22.659015
-390.13074,59,22.72056
-195.8738,37,22.761376
-615.9158,96,22.81457
-384.89627,24,22.851345
-310.37894,43,22.895478
-209.82509,17,22.944995
-152.54976,45,22.994237
-818.04034,95,22.994237
-403.1055,60,23.048448
-14186.974,1497,23.089066
-316.54855,51,23.154682
-356.5211,54,23.189349
-202.85435,35,23.228158
-230.85976,18,23.280415
-406.08194,82,23.280415
-248.55467,54,23.318825
-154.41484,19,23.318825
-235.91644,19,23.358326
-200.71799,29,23.412718
-230.9531,30,23.450617
-335.838,54,23.504704
-536.7925,57,23.552906
-543.4654,49,23.597361
-142.66663,41,23.650523
-345.4291,38,23.694618
-393.23648,23,23.744719
-368.27417,60,23.801465
-480.9838,104,23.801465
-506.10092,44,23.849246
-200.89824,24,23.898916
-282.0008,51,23.942147
-229.67761,39,23.981663
-421.77573,48,24.042266
-293.77255,28,24.076064
-195.87668,47,24.136384
-209.67502,42,24.183372
-16179.638,1487,24.214037
-323.43726,86,24.257995
-495.41776,41,24.310689
-328.58185,30,24.347939
-348.23755,30,24.392422
-226.87656,32,24.452193
-239.13211,31,24.492005
-719.04224,73,24.54121
-709.60474,117,24.576431
-210.2512,46,24.620789
-233.02707,29,24.677174
-456.96426,50,24.715966
-249.17374,52,24.75374
-228.1923,48,24.802716
-262.78296,50,24.85081
-375.5046,52,24.908141
-215.81168,42,24.939894
-189.36063,50,24.972515
-261.90244,47,25.017666
-274.4846,60,25.083275
-188.34053,39,25.083275
-251.40442,43,25.122896
-205.00967,41,25.159676
-4201.628,442,25.199441
-166.83157,51,25.250303
-369.02304,25,25.25133
-22839.506,1633,25.30783
-217.27823,41,25.349737
-26486.328,2578,25.381471
-180.09407,60,25.424555
-189.37321,69,25.467519
-170.44122,51,25.502207
-238.24051,33,25.550318
-405.10355,88,25.588176
-450.85303,77,25.637689
-581.9255,37,25.680184
-675.0586,74,25.723049
-352.1269,62,25.763901
-250.203,22,25.763901
-422.77362,78,25.81121
-222.41925,56,25.856208
-232.01936,21,25.889962
-178.2482,39,25.927893
-172.7255,28,25.959573
-347.61584,26,26.003535
-216.01096,82,26.044498
-358.43524,96,26.078738
-185.98222,24,26.118622
-217.77696,39,26.161055
-258.74554,30,26.202255
-381.56485,47,26.241228
-276.91617,30,26.293473
-262.3397,20,26.336764
-179.32077,39,26.336764
-186.79002,48,26.377809
-261.83258,35,26.414171
-706.3709,108,26.454116
-184.75505,24,26.488763
-272.3903,18,26.532567
-227.74326,57,26.5735
-210.39128,37,26.608776
-187.19183,33,26.639919
-697.29663,107,26.680895
-170.9759,40,26.727918
-279.5691,40,26.771898
-403.51904,68,26.806699
-386.55923,35,26.841408
-227.1098,39,26.882362
-222.86563,48,26.924302
-261.42664,30,26.957059
-238.24695,19,26.994825
-255.52069,52,27.052103
-360.84277,28,27.088946
-382.3197,58,27.143064
-631.8937,128,27.178459
-197.45679,59,27.217355
-636.16614,110,27.256716
-215.61325,46,27.3047
-340.16245,103,27.342694
-236.2231,32,27.379562
-238.9175,24,27.416653
-389.7778,62,27.45243
-333.58627,42,27.490151
-200.70512,40,27.52861
-286.17456,26,27.576694
-228.80846,31,27.614097
-158.81914,37,27.660164
-297.40662,42,27.698029
-199.21265,30,27.74194
-313.25342,52,27.781797
-282.66525,36,27.81364
-315.744,26,27.850242
-217.8623,24,27.89429
-437.2758,65,27.934261
-233.61707,88,27.973081
-219.38162,29,28.010823
-987.8614,31,28.048716
-197.82104,32,28.089666
-162.52277,34,28.089666
-258.2411,24,28.135743
-185.31354,24,28.173548
-217.76825,58,28.224617
-432.71762,39,28.257272
-393.76355,72,28.295492
-203.29959,36,28.340962
-534.9245,79,28.379883
-578.35,63,28.410684
-278.14954,33,28.454549
-258.55945,42,28.498526
-607.8771,38,28.532205
-378.67395,23,28.570585
-389.2123,34,28.613999
-225.13062,43,28.646404
-778.26025,93,28.689474
-210.08417,29,28.726157
-280.23486,50,28.767582
-555.6583,41,28.801766
-190.51038,22,28.842586
-258.8479,34,28.882099
-180.38095,48,28.92202
-743.9595,74,28.967488
-374.57764,41,29.00633
-445.2286,42,29.044163
-381.9498,35,29.081066
-261.17328,33,29.119956
-211.59511,29,29.155628
-617.62714,79,29.187809
-271.57135,31,29.237869
-401.28363,22,29.274184
-220.30489,27,29.306932
-165.65436,42,29.344746
-154.52666,37,29.380567
-203.01941,31,29.417412
-229.20087,28,29.46997
-254.9777,37,29.51292
-401.27487,47,29.547647
-278.14258,45,29.593426
-183.64651,53,29.627628
-768.2377,89,29.665972
-462.08496,61,29.711985
-298.0794,50,29.754894
-201.19452,39,29.81017
-195.41946,25,29.851218
-257.75635,63,29.882935
-177.39325,27,29.943389
-483.8748,80,36.532769
-192.67026,38,36.561783
-7360.9097,559,36.611668
-191.3416,25,36.641343
-200.04309,37,36.679232
-280.24445,57,36.724223
-301.24564,34,36.750857
-594.5649,131,36.792079
-272.73776,36,36.840462
-300.67307,55,36.879616
-231.12793,39,36.933408
-298.32803,38,36.933408
-195.49452,30,36.982925
-180.02757,42,36.982925
-287.76324,44,37.039509
-296.95773,39,37.078673
-220.77232,42,37.115368
-173.69435,32,37.146884
-966.5178,169,37.178847
-180.55646,43,37.220849
-174.86531,30,37.261899
-189.04001,25,37.300839
-165.0842,49,37.359162
-270.1164,39,37.395057
-220.55403,48,37.424753
-547.2035,84,37.47898
-389.8713,72,37.528877
-223.30109,41,37.558155
-198.64523,52,37.588902
-147.03972,105,37.621649
-167.7417,49,37.655345
-209.25742,48,37.703474
-169.38724,41,37.743399
-219.86935,31,37.775288
-229.10251,17,37.823667
-708.02325,62,37.872932
-290.85492,42,37.903666
-153.0632,42,37.944736
-275.03387,18,37.978512
-161.98643,47,38.028771
-476.2033,103,38.060042
-3888.7578,434,38.112152
-428.63315,44,38.150271
-275.48135,64,38.190263
-440.20624,54,38.221108
-202.62677,16,38.250835
-216.83736,42,38.284611
-259.3967,52,38.32091
-226.4619,31,38.36284
-325.8437,30,38.405742
-524.23846,59,38.436697
-386.46872,39,38.46937
-197.77423,51,38.506266
-162.8784,41,38.541038
-283.005,24,38.582027
-401.49344,34,38.632132
-368.62167,54,38.671038
-288.50082,67,38.713144
-172.3599,36,38.765678
-367.4934,96,38.792247
-278.2175,74,38.827765
-198.06557,23,38.872292
-381.63324,89,38.912316
-187.29417,37,38.943101
-253.30907,31,38.975394
-229.94855,55,38.975394
-244.72018,73,39.010917
-197.92184,23,39.050812
-203.30632,44,39.090684
-187.25246,34,39.122345
-461.91626,44,39.160174
-352.3624,49,39.188455
-331.36752,42,39.217507
-198.11522,32,39.257337
-271.1645,52,39.291047
-163.46008,33,39.328856
-184.5544,37,39.355415
-197.29422,34,39.385233
-252.36227,35,39.450828
-248.81038,47,39.450828
-548.3202,93,39.492928
-327.1235,45,39.524834
-230.69716,59,39.562682
-149.7912,91,39.60464
-173.7836,41,39.636222
-271.6541,36,39.668482
-344.5287,37,39.70084
-349.84836,52,39.734656
-476.16977,58,39.803067
-265.3634,57,39.848718
-352.0359,50,39.886126
-329.85132,60,39.938066
-335.0227,39,39.978674
-416.45755,81,40.010618
-249.33029,47,40.062998
-829.8987,107,40.113335
-271.00558,58,40.15974
-184.46344,40,40.200834
-206.3858,32,40.238701
-5300.9023,606,40.267525
-190.458,34,40.335407
-256.83096,60,40.371204
-170.40402,52,40.39994
-459.28256,119,40.438015
-592.37585,123,40.467672
-514.1203,65,40.504455
-220.72174,33,40.54221
-246.47652,36,40.572924
-365.76758,44,40.572924
-190.85512,28,40.606875
-222.01529,18,40.648894
-212.2989,28,40.695157
-162.81091,47,40.724184
-173.90332,38,40.751781
-189.30667,45,40.788584
-246.68321,82,40.833738
-222.37523,31,40.861309
-277.3357,47,40.893045
-307.41293,41,40.939141
-224.62817,24,40.978607
-150.81393,46,40.978607
-265.92932,24,41.012903
-485.79996,35,41.056966
-209.37471,17,41.095173
-155.97833,58,41.095173
-216.22255,38,41.139106
-315.11414,19,41.1802
-250.81192,40,41.208871
-247.52463,45,41.241725
-195.25905,38,41.282595
-247.42697,30,41.310293
-459.6664,51,41.349151
-188.28737,31,41.378926
-222.39725,31,41.428658
-406.38376,30,41.463122
-187.64359,47,41.49853
-267.61383,72,41.537881
-175.96188,84,41.572882
-221.23892,30,41.614739
-269.31754,39,41.646581
-336.55426,82,41.691697
-209.41371,38,41.728693
-248.33258,22,41.761443
-423.56396,51,41.80562
-212.96997,33,41.853721
-356.24304,62,41.899904
-343.2818,87,41.941085
-279.31293,29,41.967562
-213.35838,64,42.014695
-320.69955,33,42.065828
-370.53134,42,42.100683
-621.283,112,42.130306
-264.48608,37,42.165144
-229.33221,32,42.219547
-342.92163,40,42.219547
-262.59552,44,42.274952
-245.3588,32,42.310821
-162.01822,44,42.355959
-322.02698,33,42.399918
-542.56226,90,42.436925
-199.19939,32,42.471063
-206.52615,28,42.507949
-321.05542,23,42.546204
-144.39066,24,42.578964
-161.54167,36,42.613796
-238.8539,27,42.645551
-210.46825,28,42.697793
-353.0773,29,42.728847
-422.20227,78,42.786694
-568.0011,72,42.818952
-244.7574,55,42.866136
-196.45113,48,42.922448
-787.512,89,42.964211
-247.78362,40,42.995994
-175.52548,92,43.056256
-349.51352,47,43.082834
-150.01047,54,43.12893
-259.9317,57,43.162671
-290.04794,31,43.197471
-197.50513,24,43.23736
-215.85999,23,43.269054
-146.54564,58,43.311334
-354.61295,28,43.343321
-346.1788,45,43.405919
-223.75267,36,43.44608
-4287.0205,436,43.47985
-202.07104,52,43.480871
-252.24503,20,43.528065
-184.69751,20,43.566141
-180.47623,42,43.620169
-350.6656,61,43.654006
-930.0513,108,43.70872
-307.80658,46,43.70872
-187.45032,53,43.737839
-194.89502,26,43.787908
-154.2443,55,43.81974
-157.95746,30,43.846272
-168.11243,51,43.872886
-179.26418,49,43.917709
-234.89394,34,43.961428
-382.30276,41,44.00927
-280.47202,45,44.047809
-243.25488,52,44.079179
-304.69565,33,44.113958
-191.6639,58,44.160954
-167.59113,26,44.189572
-270.36566,44,44.221313
-204.65572,47,44.262305
-212.6219,29,44.303653
-256.21384,50,44.340694
-319.79065,43,44.379746
-183.12114,47,44.416727
-212.14357,25,44.451616
-25097.055,1985,44.485324
-353.5272,43,44.514996
-324.19287,22,44.56411
-456.7451,98,44.621237
-337.7596,50,44.648851
-423.04434,65,44.684734
-176.7897,34,44.716477
-229.30408,18,44.763559
-180.50421,34,44.796291
-360.97684,47,44.836159
-199.67078,22,44.871896
-626.68036,112,44.871896
-461.94922,45,44.900477
-184.62819,38,44.948711
-620.1813,147,44.982845
-228.61957,33,45.022916
-306.33688,44,45.058728
-200.92125,20,45.092878
-456.94418,50,45.092878
-238.3133,23,51.314377
-220.03487,19,51.345214
-202.52907,64,51.373966
-346.2567,54,51.41292
-194.92122,31,51.443868
-13377.317,1321,51.47467
-433.53278,36,51.502255
-9180.046,993,51.541229
-260.85464,45,51.574935
-167.91646,28,51.602498
-198.8349,50,51.639501
-162.11984,44,51.679438
-198.09024,62,51.708689
-290.1485,32,51.738955
-194.73643,47,51.76756
-276.1584,37,51.806449
-705.14966,70,51.840162
-176.82843,30,51.877194
-271.76306,42,51.909619
-324.90128,50,51.909619
-214.61215,27,51.943796
-224.7977,32,51.976835
-196.33177,38,52.009854
-224.49838,22,52.045019
-210.95724,26,52.086404
-161.52393,37,52.125226
-166.20265,36,52.162314
-226.60776,28,52.162314
-170.83392,64,52.198264
-161.17432,56,52.233054
-244.2156,18,52.264776
-201.67291,56,52.302516
-193.3702,71,52.333168
-347.3902,31,52.363739
-213.29532,38,52.398928
-249.80194,23,52.432424
-192.9859,21,52.461192
-180.82625,67,52.499664
-237.52203,32,52.531401
-291.13504,33,52.566231
-174.5514,56,52.593751
-183.26364,42,52.626458
-190.67186,34,52.659202
-168.92386,33,52.659202
-178.96042,25,52.689902
-318.32037,24,52.723695
-224.04791,21,52.75431
-216.91423,59,52.788538
-392.02423,40,52.828524
-386.41696,24,52.828524
-223.93095,21,52.85716
-189.85178,35,52.893085
-202.10275,43,52.922756
-175.11113,25,52.953943
-159.71663,53,52.987835
-237.95125,22,53.018615
-221.34425,21,53.050309
-177.03264,64,53.08887
-184.6083,35,53.122097
-183.49889,21,53.147572
-177.50035,34,53.184336
-225.5095,25,53.216203
-170.20717,42,53.243825
-161.67093,32,53.275474
-199.65433,29,53.306218
-242.99052,18,53.341138
-218.24542,43,53.369883
-212.91116,40,53.415117
-275.38248,24,53.442857
-239.58566,30,53.482665
-237.93536,57,53.51858
-192.50327,28,53.51858
-181.36293,60,53.566735
-288.7378,20,53.598264
-181.03198,35,53.623855
-157.07137,55,53.660282
-198.11343,27,53.688413
-198.64569,36,53.721657
-580.8768,55,53.758659
-320.1586,23,53.791392
-166.01108,23,53.817031
-239.8388,19,53.854853
-1056.5167,111,53.897748
-231.91284,25,53.923754
-170.92725,35,53.956038
-199.67503,48,53.984539
-254.09329,50,54.013583
-388.2689,53,54.061635
-291.65015,32,54.096453
-167.23807,29,54.127684
-193.23083,35,54.154723
-218.93187,36,54.190585
-174.44472,95,54.222488
-213.62134,38,54.222488
-275.83606,21,54.261348
-244.91437,30,54.297252
-197.3034,34,54.338189
-206.04042,27,54.365856
-279.53445,28,54.397723
-193.27208,30,54.426576
-250.20729,40,54.454221
-430.11972,95,54.485841
-187.33278,21,54.526791
-228.50175,19,54.556525
-167.77237,29,54.588685
-203.49811,28,54.624012
-202.55878,59,54.654669
-224.00783,15,54.680224
-279.36743,41,54.707434
-249.99281,29,54.741055
-249.61707,66,54.772796
-242.25334,31,54.816791
-388.17065,48,54.845336
-161.75073,42,54.888479
-330.53677,51,54.926362
-296.87183,50,54.954648
-297.8571,45,54.985792
-225.94098,53,55.016652
-264.50845,36,55.043218
-377.94376,23,55.092631
-211.90565,22,55.128882
-195.49396,21,55.128882
-198.18608,58,55.162653
-208.5572,43,55.20241
-232.63095,58,55.241601
-180.08102,50,55.241601
-400.08813,139,55.269173
-207.1707,22,55.29794
-240.50194,29,55.332698
-157.15704,34,55.365457
-308.55353,30,55.414547
-217.32996,35,55.4432
-164.38101,37,55.472311
-193.74799,30,55.50559
-433.364,65,55.543371
-464.92966,49,55.570462
-181.6236,42,55.597521
-214.74802,21,55.640335
-205.92398,26,55.640335
-251.38753,37,55.673084
-193.45259,36,55.707784
-167.21008,77,55.707784
-178.48978,25,55.743451
-253.7812,26,55.781314
-307.13998,40,55.811
-184.39001,30,55.844661
-176.0513,41,55.873589
-257.536,26,55.901238
-201.94453,55,55.933114
-190.27226,17,55.962845
-275.85687,41,55.989352
-174.96704,35,56.030332
-305.42307,28,56.072325
-215.57086,31,56.072325
-142.95566,42,56.108856
-382.59198,38,56.140615
-335.0075,44,56.170391
-172.9665,39,56.202123
-199.5943,83,56.236132
-202.52898,48,56.287326
-202.94513,39,56.321234
-227.27246,39,56.363308
-181.08994,38,56.390898
-250.11186,41,56.422782
-207.78001,49,56.454633
-402.30228,59,56.482303
-213.47491,21,56.509912
-180.06348,31,56.544651
-319.44266,22,56.57929
-207.67433,62,56.610028
-206.08128,28,56.640632
-238.23285,33,56.678551
-216.22223,40,56.713266
-159.50954,43,56.742809
-269.28662,37,56.773394
-353.69714,30,56.809298
-193.37358,24,56.852393
-248.03922,42,56.884421
-297.50598,38,56.919165
-174.64317,39,56.949628
-279.0626,29,56.983731
-202.52153,32,56.983731
-545.95264,84,57.018569
-646.5984,70,57.048724
-274.09073,29,57.091986
-216.23782,40,57.124675
-215.42534,35,57.164629
-183.44986,43,57.192303
-166.42102,46,57.220942
-208.9278,45,57.247511
-165.96176,40,57.278296
-363.3708,65,57.307493
-165.03256,31,57.3408
-202.20865,41,57.370321
-184.45303,20,57.404037
-165.44626,30,57.438889
-168.92871,28,57.438889
-168.33707,22,57.475745
-199.24327,42,57.503318
-216.64064,45,57.539168
-236.32101,22,57.569988
-193.12286,38,57.607862
-248.81512,18,57.645717
-288.2893,72,57.68113
-358.53455,43,57.68113
-187.11172,40,57.71499
-213.65302,29,57.741504
-306.18295,40,57.772213
-194.05678,20,57.816447
-174.08173,39,57.852389
-195.85098,30,57.887626
-191.09534,39,57.933003
-206.5476,38,57.959657
-197.29832,33,57.994414
-190.08421,50,58.022049
